Prompt,Chosen,Chosen_Likes,Chosen_Time,Chosen_CustomMetric,Reject,Reject_Likes,Reject_Time,Reject_CustomMetric
应约100w人气露脸！,乔碧萝殿下,12.0,1671886731.0,-456.67213888358833,有点恐怖片的感觉[囧]，有点像暗芝居的情节,10.0,1629787719.0,-879.6622588835884
【嘉然】Ring！Ring！Ring！今天我是小狐狸yo~,今天我点了KFC，过了一会我听见敲门声，就去开们，结果这人不是送外卖的，他说我落网了。我一想，我什么都没干怎么就落网了呢？后来我突然想明白了，我早就落入然然的情网了[嘉然_笔芯][嘉然_笔芯][嘉然_笔芯],437.0,1625218750.0,-498.3519488835884,"为她神魂颠倒[嘉然_嘉速心动]
动感光波[嘉然_一眼真]
[嘉然_biu]  感觉心跳加速[嘉然_笔芯]
[嘉然_biu]  感觉天翻地覆[嘉然_剪刀手]
[嘉然_biu]  想要快乐你就[嘉然_mua]
[嘉然_biu]   [嘉然_biu][嘉然_biu]   [嘉然_biu][嘉然_biu][嘉然_biu]",91.0,1625756841.0,-838.9710388835883
【翻唱】《猫中毒》完整版PV/嘉然,我高强度改了几十篇小作文，结果没一个上去的😭 说好的天道酬勤呢,2914.0,1617557653.0,1902.0370811164116,很可爱，你是我关注的第一个up主，加油哦,779.0,1617352015.0,-235.01929888358836
【原创音乐】《超级敏感》A-SOUL全新团曲MV,一博粉丝行，能处！以后我在lol游戏里要一直喊一博的名字！,1724.0,1619791949.0,734.3800411164116,摩托姐姐来了！我觉得还挺好听！,174.0,1619846536.0,-815.0740888835884
【嘉然】Ring！Ring！Ring！今天我是小狐狸yo~,抖音来的，特地注册一个号来关注，然然无论在哪里都要开心哦。,696.0,1625236917.0,-239.17027888358837,"这寄吧谁啊，天天给👴🏻推。                              

                                                       
  
   
  
那多来点啊就这么一点够谁看[嘉然_mua][嘉然_mua][嘉然_mua]",128.0,1625284429.0,-806.6951588835884
主 播 哪 国 人,刘路也是禁词是吧，被拉黑了，我急了😠,391.0,1625635129.0,-540.1881588835884,up主你放生肉听不懂啊,28.0,1627010276.0,-889.4366888835884
【嘉然】⚡动感光波⚡,没有那句铸币“动感光波”换成然然自己说，那将绝杀,542.0,1620902285.0,-436.51659888358836,"细数as成员的缺点：
嘉然：睡觉喜欢踢被子
向晚：睡觉不会踢被子
贝拉：睡觉喜欢拿棍子
珈乐：睡着睡着人没了😭
乃琳：睡觉大腿会着凉🥰",60.0,1620901183.0,-918.5276188835884
你把钱都打给她吧🥺,视频掺东西了吧，每次刷到就想看[向晚_大头],397.0,1651855375.0,-271.9856988835884,她没有工作吗，为什么不给她钱就没东西吃[思考],50.0,1652716176.0,-610.3776888835883
海子姐：谢谢010的SC谢谢😨,不在场证明！,3.0,1678873349.0,-395.80595888358835,有个可能就是让其中一个全盘背锅，然后我们继续推套皮，至于是谁还请各位自己研读,10.0,1638018110.0,-797.3583488835884
【古拉】回到最初，那声“A”,其实，我喜欢的是你————那身衣服和鲨鱼服[狗子],7796.0,1634637937.0,6954.8399211164115,好吧，我现在马上后悔了。,2.0,1663256108.0,-552.9783688835884
【嘉然】Ring！Ring！Ring！今天我是小狐狸yo~,坚决抵制儿童涩秦[嘉然_敲打][嘉然_敲打][嘉然_敲打],37791.0,1625218758.0,36855.64813111641,"女孩因为鼠鼠的小作文落泪了。

        鼠鼠感到很不可思议，怎么会有人因为鼠鼠

的小作文而落泪呢？

        “你也是鼠鼠吗？”他小心翼翼地问。

        “不，我是嘉然，你可以叫我然然。”女孩回答。

        看见女孩的泪水，鼠鼠没来由地有一种负罪感，这还是他平生头一遭。”对不起，我让你伤心了吗？”

        女孩并不回答，反而对他说，“你要好好吃饭。”

        他从没听过这样的话，也搞不清女孩为什么不哭了，一时间不知如何是好，慌乱中躲回了鼠洞，过了一会儿，递出一张皱巴巴的纸币，面额不大，但也是他努力攒下的，纸币上写着“我以后可以再给你写小作文吗？”

        女孩答应了。

        于是鼠鼠每天搜肠刮肚，把小作文写在小纸片上，等女孩路过就递出去。

        他是不敢和女孩见面的。

        递小作文的次数多了，他逐渐记住女孩每周三到周末的晚上会路过鼠洞，他还记住了女孩说过的很多话。其中有一句他犹为在意，“嘉心糖们都是很历害很历害的人。”

        他不知道嘉心糖们是指什么，就鼓起勇气问女孩，“什么是嘉心糖？”

        “喜欢然然的人就是嘉心糖啊。”

        鼠鼠开心极了，&#34;那么，我也是嘉心糖？”他心想，仿佛和女核有了什么特别的关系.可下一秒他又耷拉下脑袋，“嘉心糖是很历害的人，可我一点都不厉害，我只是一只老鼠。”

        谁很历害呢，猫和狗很历害.可他们不喜欢嘉然小姐。“不过没关系.”鼠鼠决定出洞，“把他们引来就好，只要看到嘉然小姐，他们一定会喜欢上她的。”鼠鼠对女孩很有信心，毕竟那是他见过最好的女孩。

-------------------------------------------------",262.0,1625406520.0,-671.4742488835884
《嘉然为什么是神》,大家都知道asoul只有四名成员[雫るる_嘻嘻],19.0,1659081996.0,-577.7194888835884,梵蒂冈最新宣布7.30日为成神之日,15.0,1627652958.0,-896.0098688835884
应约100w人气露脸！,懂了，两年掉了十万粉╮(￣▽￣)╭,9.0,1695913725.0,-219.40219888358834,早期评论大伙都好正常啊,8.0,1651476176.0,-664.7776888835883
【古拉】回到最初，那声“A”,不懂就问，这是第一次直播吗，有全程回放不,6713.0,1634692207.0,5872.382621116411,00:34,284.0,1634614826.0,-557.3911888835884
快速盘点2021各大Vtuber！,vtb和vup是有区别的吧,4.0,1650716731.0,-676.3721388835884,空学长+crew混合血统🤮,2.0,1638854173.0,-796.9977188835884
【A-SOUL/贝&珈&嘉】太潮啦！师徒三人演绎《隔岸 (DJ)》,"满屏的高级弹幕，仿佛曾经那个“你指尖跃动的电光，是我此生不灭的信仰”“如果真爱如果有颜色，一定是_”“哦尼酱有洞”“以上组织均已破产”“人活着就是为了_”的b站又回来了。
然而再也不是那个翻调个高品质的金坷垃/miku的MMD/Fa♂乐器就能在热榜上大挂三天三夜的站了，风气也变得越来越有攻击性。
有时同学问我，你是不是二次元啊，都会尬笑回答我不是啊，别乱说啊。若是遇到刨根问底的，才会悻悻地回一句我是个ACG爱好者。
没想到能看到这个切片能以这种形式爆红，这也算是粉丝和偶像的双向奔赴吧，真好。睡前再小溜几遍",2348.0,1632148869.0,1481.9492411164115,一个魂们中秋快乐捏[给心心],119.0,1632211154.0,-746.4279088835884
【古拉】回到最初，那声“A”,这声a，气势磅礴，恢宏大气，是对世俗的藐视，是对美好世界的向往。短短的一声，似乎是浓缩了大千世界的美好精华所在……我编不下去了你们来吧[doge],241.0,1642810609.0,-518.4333588835884,"◢■■■■■■■■■■■◤
                      ■
                      ■
                      ■◣
                      ■ ◥◣
                      ■      ◥◣
                      ■
                      ■
                      ◤
◥◣               ◢◤
   ◥◣         ◢■■■■■■◤
      ◥◣   ◢◤      ■     ◢◤
              ◢◤        ■   ◢◤
                             ■
        ◢◤             ■
     ◢◤           ◢◤◥◣
  ◢◤          ◢◤        ◥◣
◢◤        ◢◤                ◥◣
️
️
️
️
◢■■■■■■■■■■■◤
️
️
️
️
                     ◥◣
    ◢■■■■■■■■■■◤
◢◤                               ◢◤
   ◢■■■■■■■■■◤
                     ■
        ◢         ■■■■■◤
       ■◣       ■
      ■ ◥◣   ■
  ◢◤      ◥■■■■■■■◣",3.0,1638182716.0,-802.7122888835884
【嘉然】⚡动感光波⚡,我同事的抖音都刷到这个视频了。。。,216.0,1621052503.0,-761.0144188835884,抖音今天能破一百万赞不?能的话开🍾🍾🍾🍾🍾🍾,35.0,1621056004.0,-941.9794088835883
快速盘点2021各大Vtuber！,毛一v:阿梓从小就很可爱，不如阿梓一根,410.0,1635774031.0,-419.7991388835884,asoul终会成为世一v的[贝拉kira_加油][贝拉kira_加油],3.0,1640457336.0,-779.9660888835883
《嘉然为什么是神》,这虚拟主播的粉丝都奇怪的一批真的,474.0,1625220289.0,-461.3365588835884,BV1U54y177iL,22.0,1628388902.0,-881.6504288835883
“典”“典中典”“这就是***的丑态”【七海Nana7mi】,其实我个人是非常讨厌这些抽象回复的，我在网上也在时刻避免用这些字，词。但是，各位，你懂吧，网上就是有很多那种你正常说话他也要阴阳，抽象你的，甚至争论的机会他都不给，你怎么说他都是“急急急🤣，etc.”，这种时候我也没办法，也只有阴阳回去😒。,15.0,1696264229.0,-209.89715888358833,典,26.0,1645432378.0,-707.2156688835884
【東雪莲】说出名场面后矢口否认,主打的就是一个嘴硬[東雪蓮_我接着含][東雪蓮_我接着含][東雪蓮_我接着含],322.0,1670025525.0,-165.28419888358837,莲宝的心再冷，里面也是温暖的[東雪蓮_好热],24.0,1670422094.0,-459.3185088835884
嘉然我真的好喜欢你啊😭😭😭,"一年前：然然你快带我走吧😭
一年后：嘉心糖快带然然走吧",24.0,1652795719.0,-635.5822588835883,每次刷到都要点进来看我，我是不是大了啊😅,21.0,1623821827.0,-928.3211788835883
主 播 哪 国 人,生肉啊,32.0,1669464641.0,-460.89303888358836,很喜欢眠大佐主页的一句话：由于对方隐私设置无法查看空间内容,178.0,1625476688.0,-754.7725688835884
露西亚粉丝群组里Gachi恋粉丝发狂哭吼的实态,这是什么假面骑士在失去伙伴后的自责场面吗？,1485.0,1706501355.0,1362.4741011164117,兄弟，你好炸，来失落拉斯维加斯唱核吧,13.0,1706520677.0,-109.33267888358831
主播是日本人吗？主播是你爹！【七海Nana7mi】,海子姐嘴巴越来越臭了，越来越喜欢了[喜欢],8.0,1687428760.0,-305.25184888358837,你复活了啦,0.0,1687306751.0,-314.47193888358834
嘉然我真的好喜欢你啊😭😭😭,令人感叹,45.0,1666150443.0,-481.03501888358835,你麻麻的每次都忍不住点进来😅,43.0,1623299154.0,-911.5479088835884
【锐评】这V的片，不切也罢,我是v的话，我没活，有人能帮我shi里找糖，几百块钱不秒给,16460.0,1672643387.0,15998.894421116413,"2023祝大家
椎骨、胸骨、颅骨、骶骨，骨骨生威；

背肌、胸肌、颈肌、躯干肌，块块有力；

消化、呼吸、循环、泌尿、生殖、运动、神经、内分泌，八大系统团结友爱；

静脉、动脉，六脉调和；

体循环、肺循环、血液循环、体液循环，环环通畅；

右心房、右心室、左心房、左心室，心心向荣；

中枢神经系统、周围神经系统、躯体神经、内脏神经，协调运作、神清气爽。 

祝福从延髓出发，沿着迷走神经穿过颈静脉孔，出颅绕左锁骨下动脉，越主动脉经左肺根，达第六胸椎左前方那个叫心脏的角落汹涌而出：2023快乐！空气分子振动通过鼓膜，顺着听小骨，通过内耳毛细胞点燃蜗螺旋神经节内的双极细胞，沿着蜗神经经蜗神经腹核和背核经蜗神经腹核和背核经斜方体并交叉上行，经下丘，内侧膝状体，经听辐射，通过内囊到达颞叶颞横回，让我们听到了新年的钟声。夜幕中的光线打到视网膜，经视锥细胞和视杆细胞，双极细胞，来到节细胞，2023通过视神经，视交叉，视束，外侧膝状体，视辐射止于距状沟周围皮质，绚丽的焰火展现在我们脑内。距状沟周围皮质的神经元将焰火经角回，wernicke区，弓状束，来到broca区，经中央前回，通过皮质脑干束，经内囊膝部下行至脑干，到达面神经核下部和舌下神经核，控制着舌，大声疾呼：2023，新年快乐！
新年祝大家：
电势 磁势 引力势 事事得势
重力 弹力 摩擦力 处处给力
匀速 加速 超音速 致富加速
动能 势能 机械能 万事皆能
质心 重心 几何心 天天顺心
强电 弱电 交流电 秒秒来电
重子 轻子 中微子 龙门贵子
虚像 实像 等大像 人人福像
叉积 点积 内外积 财运累积
积分 差分 偏微分 门门满分
动量 冲量 作用量 前途无量
恒星 行星 脉冲星 满天福星
阴极 阳极 南北极 登峰造极
电场 磁场 规范场 宏大气场
有机 无机 永动机 无限商机
自转 公转 螺旋转 行行玩转
平面 曲面 抛物面 有里有面
散度 旋度 自由度 大方有度
牛顿 莱顿 哈密顿 大吃一顿
三维 四维 十一维 精准思维
气流 湍流 交直流 一代风流
直角 锐角 倒三角 全做主角
固态 液态 双稳态 万方仪态
氢气 氦气 电子气 扬眉吐气
固体 气体 半导体 处处得体[doge][doge][doge]",134.0,1672649549.0,-327.04395888358835
我是如何 因看vtb毁掉自己的人生？,我都过的这么惨了为什么还要看包浆视频😭,64.0,1673661176.0,-386.92768888358836,甚至找不到能分享这个视频的朋友,10.0,1674186561.0,-435.6738388835883
海子姐：谢谢010的SC谢谢😨,这个店铺名。。2434?啊?,14.0,1640692126.0,-766.6181888835883,左兜揣右兜是吧,0.0,1637131115.0,-816.2282988835884
【海子姐】ybb小火车,视频是同一个视频，海子姐是同一个海子姐，但是2021的夏天不会回来了，2021夏天的我也不会回来了,33.0,1655545035.0,-599.0890988835883,感觉...不如方舟良心好看...感觉...不如方舟良心好看...感觉...不如方舟良心好看...感觉...不如方舟良心好看...感觉...不如方舟良心好看...感觉...不如方舟良心好看...感觉...不如方舟良心好看...感觉...不如方舟良心好看...感觉...不如方舟良心好看...感觉...不如方舟良心好看...感觉...不如方舟良心好看...感觉...不如方舟良心好看...感觉...不如方舟良心好看...感觉...不如方舟良心好看...感觉...不如方舟良心好看...感觉...不如方舟良心好看...感觉...不如方舟良心好看...感觉...不如方舟良心好看...感觉...不如方舟良心好看...感觉...不如方舟良心好看...感觉...不如方舟良心好看...感觉...不如方舟良心好看...感觉...不如方舟良心好看...感觉...不如方舟良心好看...感觉...不如方舟良心好看...感觉...不如方舟良心好看...感觉...不如方舟良心好看...感觉...不如方舟良心好看...感觉...不如方舟良心好看...感觉...不如方舟良心好看...感觉...不如方舟良心好看...感觉...不如方舟良心好看...感觉...不如方舟良心好看...,59.0,1627548014.0,-853.0593088835884
【嘉然】⚡动感光波⚡,想到这个视频是被抖友看厌了才放给我们看的，我的内心就充满了喜悦🥰🥰🥰,3997.0,1620901171.0,3018.4722611164116,"隔壁有人整了个小舞的活，明明只是在嘲讽ww，结果评论区mmr倒是一个比一个急，嚷嚷着让up删视频。
反观这边纯良抖友手动打字at好友来看嘉然（因为化腾会拦截一鸣的链接）
所以，为什么包容的嘉然评论区唯独容不下某群人呢？🤗🤗🤗",155.0,1621094914.0,-821.5903088835884
【翻唱】《猫中毒》完整版PV/嘉然,今天在宿舍群里，宿舍长艾特了全体人出去聚餐，可偏偏没有艾特我，我不介意，因为猫中毒终于发了，虽然这首歌嘉然只能陪伴我两分钟，但我能一直重放，一直到他们吃完回来，这样我们又是一个宿舍的好兄弟了。,4202.0,1617510478.0,3189.5653311164115,"坏了，现在发评论都要验证了
但是然然，为了你，我甘愿背负这世界的罪与罚😭",800.0,1617360804.0,-213.93140888358835
海子姐：谢谢010的SC谢谢😨,同时抛出两个会引起问号风暴的话题，做到提到那个却把没听清楚的人蒙在鼓里的效果[捂眼],1285.0,1637081253.0,468.2730811164116,鲨鱼皮是吧,4.0,1639409575.0,-789.4436988835884
勾罕见，今天就是你的死期😡😡,制裁完√罕见反而自己说着霓虹语把枪放了回去是吧😡,27866.0,1632234055.0,27000.801101116413,怎么回事呢，200万。。。,5.0,1657087548.0,-611.6639688835884
永雏塔菲逆天叫声，进来看看满意了,这明显是故意叫的，但是功底不浅，有种ASMR的感觉，有点东西,659.0,1709305127.0,564.5118211164117,这种人估计在电报上还有另一个身份，有很多小视频，但是你肯定不知道她是塔菲[滑稽],20.0,1708161179.0,-85.92765888358832
【嘉然】Ring！Ring！Ring！今天我是小狐狸yo~,"7.1
一位戴着草帽意气风发的年轻人，带着他的伙伴出海了，他大喊着要去伟大的航路寻找被埋藏的财宝

7.2
他在航行途中救了被海浪打翻小船的我，还给了我食物和水。
我很感激，告诉他一定要B站关注@嘉然今天吃什么

7.3
他说他不去伟大的航路了，他已经找到了他的财宝。",3241.0,1625308044.0,2306.5409911164115,"还能有这样粉的吗？？看回复别人评论的都挺正常的但是为什么发出来的评论怎么看都是很不对劲[笑哭]我不是第一次被“当狗”这个不知道是不是梗的东西引流过来了，第一次看评论区以为是烂掉的vup，因为感觉评论区很不和谐，现在仔细看了一下回复别人的评论，发现这居然是真粉？这样子粉一个人，啊，属实离谱，理解不了，如此，发表一番感想。虽然我觉得这是个人的自由，但我个人认为这不太好啊，我属实是被这种风气劝退了，都无法想象这是vup的圈[笑哭]
枝网文本复制检测报告(简洁)
查重时间:2021-07-03 12:01:50
总文字复制比:99.53%
相似小作文:
 【舞蹈】PINK CAT【直播】
作者:冰雹-_-
发表时间:2021-06-26 01:48:04

查重结果仅作参考，请注意辨别是否为原创",230.0,1625328854.0,-704.2509088835884
【翻唱】《猫中毒》完整版PV/嘉然,我点不了赞了嘉人们😭😭😭,4550.0,1617615524.0,3538.615791116412,这要是没上热门和排行榜，我只能说嘉心糖屁用没有😇,804.0,1617338477.0,-210.1546788835884
【A-SOUL/贝&珈&嘉】太潮啦！师徒三人演绎《隔岸 (DJ)》,“你见过凌晨四点的枝江吗”,2900.0,1632081631.0,2033.2768611164115,虽然不认识，但是感觉氛围真的很不错[音律联觉_赞],194.0,1632210002.0,-671.4394288835883
被小作文整破防的嘉然,"前半段的她听着bgm，预计着马上到来的“爱你”、“想你”等歌词，故意唱出声为了营业；中间看着厂人的日记时不忘微笑卖萌，毕竟她自己也是个打工人；但当她看见对于老人、父母的叙述和担忧时“破防了”，即使已切到下一个作文时仍提醒观众：照顾好自己......
我觉得她是个心灵善良的姑娘，也第一次关注了一个套皮人，如果这一切都是编排好的，bgm、抿嘴和转身收拾心情都是表演，我只能说，我被骗了",651.0,1619842676.0,-338.11268888358836,[难过]看到后面就完全压不住了……我生活里从来不把学校受到的委屈告诉父母，哪怕是之前被校园欺凌一年多了也没有，依然是笑脸面对他们，他们有时候说说我，也没什么，他们能笑笑挺好的[藏狐]自己重要的人呢，对自己又是爱答不理，这没什么，我可以忍一忍[委屈]橄榄菜和榨菜的味道很单调，但是配上白饭于我而言就是美味[酸了]我也想拥有美好无缺的生活，但是堆成山的考题让我喘不过气[大哭]我也想有一个人像我照顾他人一样对待我，但我知道是根本不存在的，每一天还是深更半夜拉开窗帘，看看空空荡荡的天空，做着噩梦睡着......,100.0,1628524999.0,-802.2894588835884
露西亚粉丝群组里Gachi恋粉丝发狂哭吼的实态,你们关注这管人痴和粽姨，而我只关心后面温柔的妹妹,549.0,1706510508.0,426.5656311164117,我佛，标题没看清以为是粽姨在吼叫故意把声音开得很大，结果一点进来这粗狂的声音差点没给我送走,9.0,1706528787.0,-113.25157888358832
【嘉然】⚡动感光波⚡,"今天上英语课，老师给我们讲了英伦玫瑰的故事，说：“There is a Lady Diana in history，named Diana Frances Spencer”
我突然一激灵，坐直了身子，Daina？Diana？！嘉然，我的嘉然。。。
嘿，嘿嘿，英。。英语课，听一下也不是不可以啦🤤🤤🤤",250.0,1620901521.0,-728.5242388835884,从抖音的嘉然评论区回来一趟，抖音人均评论区艾特自己好友，给我看傻了,38.0,1621070462.0,-938.8348288835884
【翻唱】《猫中毒》完整版PV/嘉然,"我想不通猫是怎么中毒的，他们口中的猫中毒是什么。直到今天我终于明白，不是猫中毒了，而是我这只鼠鼠对猫中毒了。
    每天我都要看四遍这只猫，早中晚各一遍，梦里一遍。她习惯去楼下的草地上晒太阳，日复一日。听其他的鼠鼠说，她因为有很多人喂食，所以不会去抓鼠鼠，在她面前我们是安全的。又有鼠鼠说，她是极其危险的，因为他们曾看过她抓住一只鼠鼠反复捉弄挑逗，直至那只鼠鼠承受不住跳进了河里。风言风语太多了，我因此起了兴趣，决定靠近去了解。
    我最开始在她经常经过的草丛里蹲着，藏在草里面就能在看见她的同时不被发现。她的四只脚毛茸茸的，没有爪子，似乎被剪掉了。我看到的时候松了一口气，如果我被她发现，起码不会被爪子刺穿。知道自己没有生命危险后，我更进一步，在楼梯背后蹲着，观察她进餐。好人给予的食物总是丰富充足的，她进餐时也不必像我们一样会狼吞虎咽，而是优雅的。那种优雅，抱歉我不知道怎么形容，我只能告诉你，那是我见过的最享受的进食。至此，我已经确定了，这只猫只不过是一只娇生惯养的无害猫。
    不知道什么时候起，也许是第一次观察起，我已经养成了习惯，就是每天在她经过的草丛蹲着。闻着残留的猫香，我总能愉悦一整天。直到有一天，我被她抓住了。她没有尝试用爪子刺穿我，甚至连爪子都没有露出来。仅仅是追逐，这种追逐对她来说是儿戏，但对于好几天没吃到食物的我却是致命的。我被赶到了角落，已经无法再奔跑。盯着面前的猫脸，我的脚在抽搐，身体在发抖，脸膀胱都无法抑制住。最后我昏迷了，我昏迷在一片黄色液体中，与骚臭味对立着的是空中悬浮着的猫香。我想，我死去的场景是如此的戏剧，一生所有的俗与高高在上的雅混杂在一起，此刻却如此和谐。
    我在萍伦区心鼠医院醒来的，这里有很多像我一样的病鼠，我以前也听说过，他们是得了一种叫猫中毒的病。以前我不懂这是什么，现在懂了。医生说我得了臆想症，被发现时躺在下水道里。在这里治疗的鼠鼠很多，每天的药就是定时看些视频，睡前听些音乐。缓解是能缓解的，但这种病还无法根治。但也无所谓了，我不在乎，甚至庆幸。

我很喜欢鼠志摩的一首诗:

“我不知道风 

是在哪一个方向吹——

 我是在梦中，在梦的轻波里依洄。 

我不知道风 

是在哪一个方向吹—— 

我是在梦中，她的温存，我的迷醉。”
现在半夜，我也时时想起。不管风往哪个方向吹，唯一不变的，是我心底喜欢的你。",4139.0,1617377460.0,3125.2351511164115,不太懂这些东西 不过挺可爱的,799.0,1617349744.0,-215.04200888358844
主播是日本人吗？主播是你爹！【七海Nana7mi】,什么时候的典？最近的？真的闲得蛋疼问这种上古的典,0.0,1693115184.0,-256.3876088835883,战鲨[星瞳_敬礼],0.0,1687432727.0,-313.21217888358836
